ML method,latent_size,model_family,predictor_kind,model_path,PCP training dataset (%),PCP test dataset (%),MAPE training dataset (%),MAPE test dataset (%),MAPEK training dataset (%),MAPEK test dataset (%),MAE training dataset (C),MAE test dataset (C),RMSE training dataset (C),RMSE test dataset (C),R2 training,R2 test
VAE (64) + SVR,64,paper,joblib,artifacts/reproduce/predictors/latent_64/svr_latent_64.joblib,12.894736842105264,10.294117647058822,235.87399572586642,1170.2194894331658,30.44232037657737,31.017504106858134,107.2691497846801,112.83264496360962,119.68393875269425,123.36236030230512,-1.1776033242166362,-0.6441314379759528
VAE (64) + RF,64,paper,joblib,artifacts/reproduce/predictors/latent_64/rf_latent_64.joblib,81.3157894736842,54.41176470588235,17.687405700235978,160.6729100556309,2.2785175453532616,6.9905661292055195,8.75314047422696,31.35489759452721,13.193968217441201,54.776990166862724,0.9735358535292773,0.6758339537354368
VAE (64) + CNN,64,paper,torch_cnn,artifacts/reproduce/predictors/latent_64/cnn_latent_64.pt,17.63157894736842,14.705882352941178,71.30880743900813,370.2569640890186,14.730198600022185,15.460201275356217,66.3089856072476,75.23225943042951,96.44688208295906,114.99496117424212,-0.4141106605529785,-0.4286597967147827
VAE (64) + LinearRegression,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_linearregression_latent_64.joblib,50.78947368421053,33.82352941176471,35.7783399792837,133.62626663755066,5.185956843667962,8.10737893246355,19.62981124049739,35.24976995499695,25.930681528961973,60.02515327129408,0.8977802395820618,0.6107417941093445
VAE (64) + Ridge_alpha_0.1,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_ridge_alpha_0.1_latent_64.joblib,39.473684210526315,30.88235294117647,48.25698657760606,368.1626148280962,7.242909094952552,8.909437648265625,28.36265412506304,36.738092590780816,36.725779527485344,51.33444284912094,0.7949550747871399,0.7152990102767944
VAE (64) + Ridge_alpha_1,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_ridge_alpha_1_latent_64.joblib,30.263157894736842,25.0,56.670332845250414,332.00645337850915,8.942336131242742,11.094254733607704,35.39214595775855,46.6405049378381,46.29873475962342,64.00640510275068,0.6741293668746948,0.5573932528495789
VAE (64) + Ridge_alpha_10,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_ridge_alpha_10_latent_64.joblib,23.157894736842106,17.647058823529413,75.71491460209062,323.44738180436633,11.351050637778966,14.326768790517812,44.8099639453386,60.64156808835619,57.614053748271296,78.89992139489918,0.495380699634552,0.32745033502578735
VAE (64) + Lasso_alpha_0.001,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_lasso_alpha_0.001_latent_64.joblib,23.157894736842106,16.176470588235293,64.37641419406067,301.29361151005935,10.454011631314541,13.532962784601214,41.33825735543903,56.86772836218862,53.434894500662914,75.32584196556972,0.5659328699111938,0.38700181245803833
VAE (64) + ElasticNet_alpha_0.001_l1_0.2,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_elasticnet_alpha_0.001_l1_0.2_latent_64.joblib,30.526315789473685,22.058823529411764,55.67506837500302,356.885415582849,8.79023438190489,10.90570935229508,34.747029092437344,45.679404107086796,45.33980210587937,62.45340360806602,0.687488317489624,0.5786107778549194
VAE (64) + ElasticNet_alpha_0.01_l1_0.5,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_elasticnet_alpha_0.01_l1_0.5_latent_64.joblib,14.473684210526317,8.823529411764707,89.40012308379897,349.23323039841034,13.236597416684168,16.387098596973207,52.57726439174853,69.3232247575241,66.12334526779144,87.37540692196703,0.3353138566017151,0.17519807815551758
VAE (64) + BayesianRidge,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_bayesianridge_latent_64.joblib,51.578947368421055,39.705882352941174,36.0858393601171,217.55730998371726,5.419541108534322,7.949031579428157,20.82315092588726,33.93670699438628,27.298061535614668,51.18213613158058,0.8867154717445374,0.7169859409332275
VAE (64) + ARDRegression,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_ardregression_latent_64.joblib,49.21052631578947,38.23529411764706,34.482504149048374,248.57922211759114,5.508125358501237,8.157783453038054,21.071568880426256,35.59053187072277,27.55783547816815,58.09741227226064,0.8845491409301758,0.6353428363800049
VAE (64) + HuberRegressor,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_huberregressor_latent_64.joblib,60.26315789473684,42.64705882352941,33.877315428902584,170.72567699787217,5.034522038557418,7.4588323938348005,18.888315147644512,32.092938468236206,29.047580397792217,51.779813284915576,0.8717294522712873,0.7103375808177301
VAE (64) + SGDRegressor_huber,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_sgdregressor_huber_latent_64.joblib,17.105263157894736,13.23529411764706,85.74758021761942,443.47409911428224,13.179431522282517,15.332267105783865,54.481331120147956,68.09771731406347,72.71174996219558,92.76125777616838,0.19625882330942712,0.07038215727960306
VAE (64) + SVR_RBF,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_svr_rbf_latent_64.joblib,12.894736842105264,10.294117647058822,235.87399572586642,1170.2194894331658,30.44232037657737,31.017504106858134,107.2691497846801,112.83264496360962,119.68393875269425,123.36236030230512,-1.1776033242166362,-0.6441314379759528
VAE (64) + SVR_linear,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_svr_linear_latent_64.joblib,12.894736842105264,10.294117647058822,235.87399572586642,1170.2194894331658,30.44232037657737,31.017504106858134,107.2691497846801,112.83264496360962,119.68393875269425,123.36236030230512,-1.1776033242166362,-0.6441314379759528
VAE (64) + SVR_poly2,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_svr_poly2_latent_64.joblib,12.894736842105264,10.294117647058822,235.87399572586642,1170.2194894331658,30.44232037657737,31.017504106858134,107.2691497846801,112.83264496360962,119.68393875269425,123.36236030230512,-1.1776033242166362,-0.6441314379759528
VAE (64) + NuSVR_RBF,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_nusvr_rbf_latent_64.joblib,61.578947368421055,50.0,22.706590130308378,108.83896423070883,3.531219427462864,6.098159686963484,13.425145078083357,26.65898198008079,17.721291496668876,44.210579030341776,0.9522583127944149,0.7888341916569301
VAE (64) + LinearSVR,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_linearsvr_latent_64.joblib,56.315789473684205,42.64705882352941,39.75240913814409,390.23430831264005,5.589419255820285,7.906828329370722,21.40949853361116,32.29176196321388,31.44052864321324,47.72907388764736,0.8497250113769232,0.7538854958347947
VAE (64) + KernelRidge_RBF_a1_gscale,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_kernelridge_rbf_a1_gscale_latent_64.joblib,15.526315789473685,11.76470588235294,90.3589012204467,386.29297539981224,12.969309674947214,15.574972611165608,51.26487092218901,66.30117575123029,64.8146599236078,84.99743316010866,0.36136388778686523,0.21948206424713135
VAE (64) + KernelRidge_RBF_a0.1_g0.01,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_kernelridge_rbf_a0.1_g0.01_latent_64.joblib,26.31578947368421,20.588235294117645,67.44968014817245,311.9189305252025,10.48056702254332,13.404921361324785,41.46563284020675,56.69903863440542,53.76285384759882,74.85533093012506,0.5605883002281189,0.3946359157562256
VAE (64) + KernelRidge_linear,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_kernelridge_linear_latent_64.joblib,29.47368421052631,23.52941176470588,56.72122793525267,328.2984761589334,8.946288875607781,11.112185305570174,35.40777892031168,46.68655099851244,46.34489775237173,63.93723203523308,0.6734791994094849,0.5583493709564209
VAE (64) + KernelRidge_poly2,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_kernelridge_poly2_latent_64.joblib,18.157894736842106,13.23529411764706,86.40071001732325,369.19250256748126,12.504362354794738,15.2701451242006,49.364101015894036,64.87406255480121,62.69758947662985,83.34499030629495,0.4024025797843933,0.24953538179397583
VAE (64) + KNN_3_uniform,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_knn_3_uniform_latent_64.joblib,70.52631578947368,52.94117647058824,26.10305337001993,72.74821948224496,3.552590926570491,5.948708856926881,13.593546049218428,27.3859692768139,24.47943691067122,52.32312801580255,0.9089018106460571,0.7042269706726074
VAE (64) + KNN_5_distance,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_knn_5_distance_latent_64.joblib,100.0,50.0,6.826845047048519e-05,149.42133852351222,1.2768493685162323e-05,6.113435429209255,4.9337498896943816e-05,27.84593504302872,0.00012235640160817042,51.61121079874024,0.999999999997724,0.7122208743057161
VAE (64) + KNN_9_distance,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_knn_9_distance_latent_64.joblib,100.0,41.17647058823529,0.00012262895134632505,302.7699951999391,2.1480682760740432e-05,7.689102902792504,8.263730349742956e-05,34.22250857022599,0.00017291322670739577,57.44203348347942,0.9999999999954546,0.6435235822370811
VAE (64) + DecisionTree_depth_6,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_decisiontree_depth_6_latent_64.joblib,50.26315789473684,33.82352941176471,32.530077316814115,178.0877790453058,5.227533018341222,8.586466987443107,20.059258462498402,36.97829190865337,27.89070332681592,54.04838177241586,0.881743245282359,0.6844002980034039
VAE (64) + RandomForest_paper,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_randomforest_paper_latent_64.joblib,81.3157894736842,54.41176470588235,17.687405700235978,160.6729100556309,2.2785175453532616,6.9905661292055195,8.75314047422696,31.35489759452721,13.193968217441201,54.776990166862724,0.9735358535292773,0.6758339537354368
VAE (64) + RandomForest_large,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_randomforest_large_latent_64.joblib,81.57894736842105,50.0,17.313265796826716,142.1010707917943,2.23919219205381,6.981057455371012,8.624915205128113,31.454045860832707,13.082491393522789,55.051232218708044,0.9739811594410971,0.6725799413818465
VAE (64) + ExtraTrees_300,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_extratrees_300_latent_64.joblib,100.0,55.88235294117647,3.5037650681521446e-06,65.45104508275513,9.457556102163987e-07,5.622331555041931,4.063518525266933e-06,25.98108685727373,6.142868983933008e-06,50.39188273015233,0.9999999999999942,0.7256579606464746
VAE (64) + ExtraTrees_600,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_extratrees_600_latent_64.joblib,100.0,57.35294117647059,3.5037650681521446e-06,77.78797797587224,9.457556102163987e-07,5.6158543921814,4.063518525266933e-06,25.87271174696199,6.142868983933008e-06,50.21454574904838,0.9999999999999942,0.7275854688548126
VAE (64) + GradientBoosting_squared,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_gradientboosting_squared_latent_64.joblib,88.1578947368421,51.470588235294116,9.117417541070719,75.47392333262628,1.4079199369025104,6.8396997926365195,5.3392273313387415,31.182379844825817,6.802294122408488,51.95425757061199,0.9929657493876275,0.7083825691105077
VAE (64) + GradientBoosting_huber,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_gradientboosting_huber_latent_64.joblib,86.57894736842105,52.94117647058824,9.712608771029076,55.143781242623135,1.535247927103639,6.308045923837879,5.818228436539198,28.772765824490325,8.733233539456712,50.006655095927684,0.9884053625760599,0.7298364183931938
VAE (64) + HistGradientBoosting,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_histgradientboosting_latent_64.joblib,96.57894736842105,52.94117647058824,4.7627696846032865,75.30112369360579,0.6498287411114935,6.27748887487439,2.638137989217338,28.04898051668694,5.946915729598075,50.21630455641669,0.994623612122511,0.7275663854172014
VAE (64) + AdaBoost_depth_4,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_adaboost_depth_4_latent_64.joblib,51.05263157894737,27.941176470588236,36.65420956118245,235.14151392934878,4.937344420187427,8.740583098278822,18.758065861668165,38.01438250920165,23.17776082217344,58.16283630417899,0.9183323651555627,0.6345210683555735
VAE (64) + BaggingTrees,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_baggingtrees_latent_64.joblib,75.52631578947368,47.05882352941176,21.743487633624646,138.22072753448643,2.8654955007201797,7.3177505776917675,10.887777819968795,32.57954882141132,15.034290744977401,55.54216079958186,0.9656384367211209,0.6667142569802957
VAE (64) + MLP_64,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_mlp_64_latent_64.joblib,14.736842105263156,11.76470588235294,94.38689596970036,312.05611385900147,13.519340003814625,15.770204867263216,53.12149455672816,66.61940211671241,66.8221440338481,84.71831371243559,0.3211907148361206,0.2245998978614807
VAE (64) + MLP_128_64,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_mlp_128_64_latent_64.joblib,38.15789473684211,29.411764705882355,45.99031292438971,402.5856012094094,7.653655421044495,9.949929191754494,30.677903671641097,42.25072930402615,42.050810055288515,60.47895472969873,0.7311835885047913,0.6048338413238525
VAE (64) + MLP_256_128_64,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_mlp_256_128_64_latent_64.joblib,35.26315789473684,27.941176470588236,42.75911946706914,327.7765923954869,7.882476962113645,9.918281394810453,32.27416158977308,43.277453782803875,44.36193213786308,63.17256933838647,0.700823187828064,0.5688501000404358
VAE (64) + PLS_2,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_pls_2_latent_64.joblib,23.42105263157895,17.647058823529413,89.78448008302664,322.8339879192391,12.74031650686602,15.474414322642929,49.21646216557023,64.73288370138616,63.642290057361194,83.65810442956797,0.38425822178519864,0.2438860806275135
VAE (64) + PLS_8,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_pls_8_latent_64.joblib,40.0,35.294117647058826,51.74577962111814,327.4547847476026,7.412725105842653,9.000942043449278,28.740648041948702,36.86791981082253,37.158585840816144,50.62897491248449,0.7900937454351941,0.7230703467263688
VAE (64) + GaussianProcess_RBF,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_gaussianprocess_rbf_latent_64.joblib,99.47368421052632,57.35294117647059,2.2637950916890937,26.274366479210485,0.5385178902170319,7.0851547872962435,2.1117293594695243,34.5290398159013,3.5809062904453897,71.97004864164042,0.9980506360226004,0.44040376255179303
VAE (64) + XGBoost_hist_depth3,64,model_zoo,joblib,artifacts/reproduce/predictors/latent_64/zoo_xgboost_hist_depth3_latent_64.joblib,90.78947368421053,57.35294117647059,7.16031840633916,83.67305571401073,1.096044228856668,6.259379252106142,4.143692638999537,28.7062341071227,5.499339420178842,50.972477755677815,0.995402455329895,0.7192997932434082
