ML method,latent_size,model_family,predictor_kind,model_path,PCP training dataset (%),PCP test dataset (%),MAPE training dataset (%),MAPE test dataset (%),MAPEK training dataset (%),MAPEK test dataset (%),MAE training dataset (C),MAE test dataset (C),RMSE training dataset (C),RMSE test dataset (C),R2 training,R2 test
VAE (128) + SVR,128,paper,joblib,artifacts/reproduce/predictors/latent_128/svr_latent_128.joblib,12.894736842105264,10.294117647058822,235.87399572586642,1170.2194894331658,30.44232037657737,31.017504106858134,107.2691497846801,112.83264496360962,119.68393875269425,123.36236030230512,-1.1776033242166362,-0.6441314379759528
VAE (128) + RF,128,paper,joblib,artifacts/reproduce/predictors/latent_128/rf_latent_128.joblib,80.78947368421052,52.94117647058824,17.483668091049847,223.57088587557885,2.1333670085151786,6.318719020284071,8.10627883962435,27.803815568942316,12.168487890688846,47.89547098662602,0.9774897533907035,0.7521664544788613
VAE (128) + CNN,128,paper,torch_cnn,artifacts/reproduce/predictors/latent_128/cnn_latent_128.pt,13.684210526315791,5.88235294117647,115.55070950942488,644.596828924145,16.045430291245385,17.653035558684138,64.02865167667991,75.65617596664849,81.17618000805041,97.1225047299786,-0.0017611980438232422,-0.019086599349975586
VAE (128) + LinearRegression,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_linearregression_latent_128.joblib,73.42105263157895,57.35294117647059,17.08829045151168,162.27291184720136,2.714202232329245,6.636303198962523,10.283806360395332,27.279969302170418,13.991732215156542,50.41831804166964,0.9702388048171997,0.7253700494766235
VAE (128) + Ridge_alpha_0.1,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_ridge_alpha_0.1_latent_128.joblib,45.0,35.294117647058826,42.16441319417474,392.10340698173553,6.478810517633307,9.051896663653164,25.319187996262,37.34818488271797,33.471240893569075,54.19770263147119,0.8296858668327332,0.6826540231704712
VAE (128) + Ridge_alpha_1,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_ridge_alpha_1_latent_128.joblib,32.89473684210527,29.411764705882355,51.438062106412964,379.52785815864604,8.059442845905767,10.047048396639575,31.885457850757398,42.01566190141089,41.50956031316131,58.156808824909795,0.7380591034889221,0.6345968246459961
VAE (128) + Ridge_alpha_10,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_ridge_alpha_10_latent_128.joblib,21.31578947368421,8.823529411764707,74.06304459529647,382.35202927773634,10.782240392608841,13.30291580528058,42.595016848413565,56.3395255760235,53.991646867638515,72.97818915406116,0.5568404197692871,0.4246165156364441
VAE (128) + Lasso_alpha_0.001,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_lasso_alpha_0.001_latent_128.joblib,29.210526315789476,22.058823529411764,55.53375883466438,393.45244040383454,8.801341522769246,10.905118650198103,34.7524210183244,45.70519224598127,45.1594981270207,61.70981484181754,0.6899689435958862,0.588585376739502
VAE (128) + ElasticNet_alpha_0.001_l1_0.2,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_elasticnet_alpha_0.001_l1_0.2_latent_128.joblib,34.73684210526316,29.411764705882355,51.53863968596618,388.1767627975554,8.0531482975133,10.1384044171839,31.73511481410579,42.17774586379528,41.45242099783279,57.949938762144185,0.7387797832489014,0.6371917724609375
VAE (128) + ElasticNet_alpha_0.01_l1_0.5,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_elasticnet_alpha_0.01_l1_0.5_latent_128.joblib,13.684210526315791,10.294117647058822,95.35576991019666,483.18052850423607,13.302839276067074,15.595452489140161,52.63876608547412,66.28450653395232,66.27906376638796,84.01131374876675,0.33217954635620117,0.23748785257339478
VAE (128) + BayesianRidge,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_bayesianridge_latent_128.joblib,65.52631578947368,51.470588235294116,20.773007977074943,167.6222783061227,3.5940403998434163,7.032020043844887,13.683606328619154,31.126606410917113,18.185595515433835,55.32256323259274,0.9497238397598267,0.669344425201416
VAE (128) + ARDRegression,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_ardregression_latent_128.joblib,58.684210526315795,41.17647058823529,29.96491058866646,312.7137536432286,4.547014800211664,8.094371760931963,17.379649149744136,34.64898453302243,23.1157722229469,55.617560605899406,0.9187686443328857,0.6658087372779846
