epoch,loss,reconstruction,kl,validity,cosine
1.0,0.4375779394988234,0.30966293841572723,0.027914992004102156,0.0,0.23669060977473577
2.0,0.1759652534991392,0.057902753249253924,0.024893354586425987,0.0683085501858736,0.5115214042836406
3.0,0.147756102359871,0.04927226606077864,0.013934580583236142,0.1545074349442379,0.5462810111311732
4.0,0.13462167929816424,0.044725748312185246,0.004730968715555509,0.14835037174721188,0.5501495226386754
5.0,0.12455604215703046,0.04128965473695759,0.000912763362384287,0.17646375464684014,0.5795097016490525
6.0,0.11627948935036322,0.038993769924270616,0.00022949275890556527,0.22943773234200743,0.6146497158091307
7.0,0.10401987048994653,0.036810479573490006,8.57844120945862e-05,0.3287639405204461,0.6592369025303085
8.0,0.08473434629521184,0.031701626972776585,5.874141300589168e-05,0.47026022304832715,0.7540700933082396
9.0,0.09081254263155744,0.024913852019962546,1.811431018242837e-05,0.3411942379182156,0.8168240646004233
10.0,0.10820440877381311,0.023014603802401116,1.3225251687938377e-05,0.14823420074349442,0.8225784626370469
11.0,0.11948840160850699,0.022361334073997784,1.9724792700224525e-05,0.028926579925650557,0.8238070395577796
12.0,0.12137719469498082,0.02193539856576454,2.2649712941850483e-05,0.005808550185873606,0.8246263439548946
13.0,0.12145149260482381,0.021623946788641157,2.5035200583244126e-05,0.001974907063197026,0.825205230025997
14.0,0.1208901909564286,0.021328423923525446,2.6449629081831908e-05,0.004646840148698885,0.8258678016830997
15.0,0.12067365318148995,0.020922016113525652,3.0445967485790542e-05,0.0027881040892193307,0.8272485808368952
16.0,0.12039305153389403,0.020396402881214165,3.1498434986282124e-05,0.00034851301115241634,0.8290615663430948
17.0,0.11981256657927453,0.019816232509357115,3.1184029396111405e-05,0.00034851301115241634,0.831009156641907
18.0,0.1192835459838791,0.019257771453671295,2.5772833355759152e-05,0.0,0.8326763365570055
19.0,0.11889776390835255,0.01887604569303059,2.1716686993541773e-05,0.0,0.8335080870243696
20.0,0.1186898613424771,0.01867542459480603,1.4435209439627931e-05,0.0,0.8337821422013209
