ML method,latent_size,model_family,predictor_kind,model_path,PCP training dataset (%),PCP test dataset (%),MAPE training dataset (%),MAPE test dataset (%),MAPEK training dataset (%),MAPEK test dataset (%),MAE training dataset (C),MAE test dataset (C),RMSE training dataset (C),RMSE test dataset (C),R2 training,R2 test
VAE (32) + SVR,32,paper,joblib,artifacts/reproduce/predictors/latent_32/svr_latent_32.joblib,12.894736842105264,10.294117647058822,235.87399572586642,1170.2194894331658,30.44232037657737,31.017504106858134,107.2691497846801,112.83264496360962,119.68393875269425,123.36236030230512,-1.1776033242166362,-0.6441314379759528
VAE (32) + RF,32,paper,joblib,artifacts/reproduce/predictors/latent_32/rf_latent_32.joblib,81.84210526315789,51.470588235294116,16.039699609178168,247.2506222043068,2.0970552090678987,6.533510217983171,7.987090442879766,29.755628843163873,12.290623512047858,55.78947865172284,0.9770356130873704,0.663739542661222
VAE (32) + CNN,32,paper,torch_cnn,artifacts/reproduce/predictors/latent_32/cnn_latent_32.pt,14.473684210526317,4.411764705882353,116.90614433240418,658.030120236185,16.149773492320165,17.716233108416276,64.27735771129007,75.7461973244653,81.20451202950728,96.87679569344246,-0.0024607181549072266,-0.013936638832092285
VAE (32) + LinearRegression,32,model_zoo,joblib,artifacts/reproduce/predictors/latent_32/zoo_linearregression_latent_32.joblib,45.526315789473685,36.76470588235294,50.610784033105524,459.9234340206249,6.910983158973229,9.77816930500919,26.194539735191746,40.611913220847356,35.570456211940034,59.00590657591817,0.8076527714729309,0.6238490343093872
VAE (32) + Ridge_alpha_0.1,32,model_zoo,joblib,artifacts/reproduce/predictors/latent_32/zoo_ridge_alpha_0.1_latent_32.joblib,38.15789473684211,26.47058823529412,52.96451102617365,509.17152605341516,7.840724467857975,10.41428138809251,30.170905306464746,43.268019917256694,40.29389161237882,59.937583093544674,0.7531771063804626,0.6118767261505127
VAE (32) + Ridge_alpha_1,32,model_zoo,joblib,artifacts/reproduce/predictors/latent_32/zoo_ridge_alpha_1_latent_32.joblib,32.89473684210527,26.47058823529412,61.59679313252974,477.00530247925315,9.332213175189482,11.48755270679152,36.4963311973371,48.20687912755153,47.66620237188468,66.66033610643132,0.6545954346656799,0.5199281573295593
VAE (32) + Ridge_alpha_10,32,model_zoo,joblib,artifacts/reproduce/predictors/latent_32/zoo_ridge_alpha_10_latent_32.joblib,22.36842105263158,17.647058823529413,79.40865275846835,407.00825747573066,11.446595355464003,13.699656249556643,44.73178833158393,58.12108456650201,57.492312761513766,77.32990402777614,0.49751096963882446,0.35394996404647827
VAE (32) + Lasso_alpha_0.001,32,model_zoo,joblib,artifacts/reproduce/predictors/latent_32/zoo_lasso_alpha_0.001_latent_32.joblib,26.57894736842105,17.647058823529413,69.2061817586132,467.2720138742821,10.429077832279818,12.47637410097301,40.74566740989685,52.232158340951976,53.24139094060008,70.73297152261014,0.5690708756446838,0.45947593450546265
VAE (32) + ElasticNet_alpha_0.001_l1_0.2,32,model_zoo,joblib,artifacts/reproduce/predictors/latent_32/zoo_elasticnet_alpha_0.001_l1_0.2_latent_32.joblib,33.421052631578945,25.0,59.16939654613513,487.6888251806078,8.965425210671043,11.35519855342768,34.94428162323801,47.335103668710765,45.944693927974896,64.70411030142958,0.6790940761566162,0.547691285610199
VAE (32) + ElasticNet_alpha_0.01_l1_0.5,32,model_zoo,joblib,artifacts/reproduce/predictors/latent_32/zoo_elasticnet_alpha_0.01_l1_0.5_latent_32.joblib,20.0,8.823529411764707,81.89456283444983,446.2141110676362,12.035376033096892,14.891335572929048,47.622737871973136,63.25056246010696,61.01668879603998,81.6314763432778,0.43401581048965454,0.28007614612579346
